season,category,product_name,description
зима,овощи,Квашеная капуста,Основа зимних щей и закусок
зима,овощи,Солёные огурцы,Закуски и гарниры
зима,овощи,Солёные помидоры,Закуски и гарниры
зима,овощи,Мочёные яблоки,Закуски и гарниры
зима,овощи,Репа,Для томлёных блюд и супов
зима,овощи,Картофель,Базовые овощи
зима,овощи,Морковь,Базовые овощи
зима,овощи,Свёкла,Базовые овощи
зима,овощи,Лук,Базовые овощи
зима,овощи,Тыква,Лёжкие сорта
зима,ягоды,Клюква,"Соусы, морсы, десерты"
зима,ягоды,Брусника,"Соусы, морсы, десерты"
зима,сладости,Мёд,"Сбитни, чаи, топпинги"
зима,рыба,Налим,Уха (пик декабрь-февраль)
зима,рыба,Судак,"Строганина, уха"
зима,дичь,Оленина,Томлёное мясо
весна,зелень,Щавель,Зелёные щи
весна,зелень,Крапива,Зелёные супы и начинки
весна,зелень,Черемша,"Салаты, супы"
весна,овощи,Редис,"Салаты, окрошка"
весна,овощи,Молодой картофель,Отварной с укропом
весна,рыба,Корюшка,"Жаркое, закуска"
весна,рыба,Щука,"Расстегаи, тельное"
весна,напитки,Берёзовый сок,"Напитки, сиропы"
весна,молочное,Творог,Пасхальный стол
лето,овощи,Огурцы,"Окрошка, салаты"
лето,овощи,Помидоры,"Салаты, соусы"
лето,овощи,Кабачки,"Тушёные блюда, икра"
лето,овощи,Сладкий перец,"Лечо, фаршировка"
лето,ягоды,Клубника,"Десерты, вареники"
лето,ягоды,Малина,"Морсы, соусы"
лето,ягоды,Смородина,"Кисели, желе"
лето,ягоды,Черника,"Пироги, молочные блюда"
лето,грибы,Лисички,"Жаркое, оладьи"
лето,зелень,Укроп,"Салаты, супы"
лето,зелень,Базилик,"Салаты, соусы"
осень,овощи,Тыква,"Супы-пюре, запеканки"
осень,овощи,Капуста белокочанная,"Квашение, голубцы"
осень,фрукты,Яблоки осенние,"Шарлотка, мочение"
осень,фрукты,Груши,"Десерты, компоты"
осень,ягоды,Клюква,"Соусы к дичи, морсы"
осень,ягоды,Облепиха,"Морс, мусс, масло"
осень,грибы,Белые грибы,"Соления, жаркое"
осень,грибы,Опята,"Соления, жаркое"
осень,дичь,Утка дикая,"Паштеты, томлёное мясо"
осень,мясо,Гусь домашний,Запекание с яблоками
