season,dish_name,dish_type,ingredients,seasonal_ingredients,advice
зима,Уха двойная,суп,"налим, судак","налим, судак",Используйте свежую жирную рыбу
зима,Щи суточные,суп,"квашеная капуста, копчёности",квашеная капуста,Добавьте квашеную капусту
зима,Рассольник,суп,"солёные огурцы, почки",солёные огурцы,Солёные огурцы для пикантности
зима,Оленина с брусникой,горячее,"оленина, брусника",брусника,Подавайте с мочёной брусникой
зима,Гусь с яблоками,горячее,"гусь, яблоки, чернослив",яблоки,Чернослив добавит сладость
зима,Сбитень,десерт,"мёд, пряности",мёд,Согревающий напиток с мёдом
весна,Зелёные щи,суп,"щавель, крапива, яйцо",щавель,Свежий щавель для кислинки
весна,Окрошка,суп,"квас, редис, огурцы, зелень","редис, зелень",Молодой редис для свежести
весна,Свекольник,суп,"свёкла, огурцы, кефир",свёкла,Холодный суп со свёклой
весна,Корюшка жареная,горячее,"корюшка, мука",корюшка,Сезон корюшки апрель-май
весна,Кулич пасхальный,десерт,"творог, изюм",творог,Творожная пасха на Пасху
лето,Окрошка,суп,"кефир, редис, огурцы, зелень","редис, огурцы",Холодный суп с квасом или кефиром
лето,Свекольник,суп,"свёкла, огурцы, кефир","свёкла, огурцы",Подавайте холодным
лето,Кабачковые оладьи,горячее,"кабачки, чеснок, сметана",кабачки,Сметана и чеснок идеально дополняют
лето,Клубника со сливками,десерт,"клубника, сливки",клубника,Свежая ягода без сахара
осень,Тыквенный суп,суп,"тыква, сливки, имбирь",тыква,Согревающий суп-пюре
осень,Жаркое с грибами,горячее,"белые грибы, картофель",белые грибы,Лесные грибы для аромата
осень,Шарлотка,десерт,"яблоки, корица",яблоки,Антоновские яблоки для кислинки
